"organization","records","datasets"
"Bioscience Research Institute, University of Southern Maine",27,2
"University of Leuven",26,1
"University of LeuvenRoyal Belgian Institute of Natural Sciences",26,1
"University of Liège",26,1
"Gabon Olive Ridley Program",25,2
"Institute for Marine and Antarctic Studies University of Tasmania",25,1
"National Natural History Museum Paris Département Milieux et Peuplements Aquatiques (MNHN-DMPA)",25,1
"Alfred-Wegener Institute, Helmholtz Centre for Polar and Marine Research",24,1
"BCCM/ULC culture collection at the University of  Liège",24,1
"BCCM/ULC culture collection at the University of Liège",24,1
"BCCM/ULC culture collection at University of Liège",24,1
"InBios-Centre for Protein Engineering",24,1
"Laboratory of Biodiversity and Evolutionary Genomics, KU Leuven",24,1
"Australian Institute of Marine Science (AIMS)",23,2
"Koninklijk Belgisch Instituut voor Natuurwetenschappen",22,1
"HAB Centre Copenhagen",21,1
"AfrOBIS / CSIR",20,1
"Cetacean Assessment and Ecology Program, National Marine Mammal Laboratory",20,1
"Fish and Wildlife Research Institute",20,1
"Rhodes University",20,1
"Western Australian Sea Turtle Satellite Tracking Project",20,3
"Carl von Ossietzky University of Oldenburg",19,2
"Icelandic Institute of Natural History",19,2
"Senckenberg am Meer",19,2
"University of Hamburg (UNI HH)",19,2
"University of Hamburg Center of Natural History (UNI HH-CeNak)",19,2
"University of Hamburg; Faculty of Biology Zoological Institute und Zoological Museum (UNI HH)",19,2
"University of Iceland",19,2
"New England Aquarium",17,1
"Wildlife Conservation Society",17,2
"Blackbeard Biologic: Science and Environmental Advisors",16,1
"CPPS",16,2
"Department of Biology and Marine Biology, University of North Carolina Wilmington",16,1
"Department of Biology, Duke University",16,1
"Department of Biology, University of New Mexico",16,1
"Department of Ecology and Evolutionary Biology, Brown University",16,1
"Department of Invertebrate Zoology, Santa Barbara Museum of Natural History",16,1
"Department of Oceanography and Coastal Sciences, Louisiana State University",16,1
"Georgia Aquarium",16,1
"Marine Megafauna Foundation",16,1
